id,name,clouds.all,sys.country,dt,main.humidity,coord.lat,coord.lon,main.temp,wind.speed
3437029,San Patricio,31,PY,1577295490,34,-26.98,-56.83,97.16,6.67
2737599,Saldanha,100,PT,1577295491,73,41.42,-6.55,50.7,3.13
3609418,San Cristobal,41,HN,1577295492,51,14.68,-86.92,79.56,3.13
3424607,Tasiilaq,0,GL,1577295492,57,65.61,-37.64,23.0,5.82
3421719,Narsaq,73,GL,1577295492,29,60.91,-46.05,35.6,28.86
286245,Sur,0,OM,1577295493,46,22.57,59.53,68.83,10.85
3985710,Cabo San Lucas,20,MX,1577295493,60,22.89,-109.91,73.99,2.24
2015306,Tiksi,12,RU,1577295494,97,71.64,128.87,-29.63,1.59
4030556,Rikitea,100,PF,1577295494,76,-23.12,-134.97,73.83,5.5
2255542,Owando,98,CG,1577295495,70,-0.49,15.91,78.82,1.01
2110227,Butaritari,99,KI,1577295496,73,3.07,172.79,83.7,4.56
2158744,Margate,90,AU,1577295496,87,-43.03,147.26,52.56,1.12
6165406,Thompson,90,CA,1577295497,84,55.74,-97.86,-0.4,2.24
2069194,Jamestown,0,AU,1577295497,39,-33.21,138.6,68.32,12.48
2729907,Longyearbyen,75,NO,1577295235,78,78.22,15.63,14.0,25.28
3421765,Nanortalik,100,GL,1577295498,59,60.14,-45.24,32.79,8.14
5836068,Rawlins,90,US,1577295498,94,41.79,-107.24,31.01,5.82
3647651,Cabimas,66,VE,1577295499,68,10.39,-71.44,85.59,2.51
2152659,Port Macquarie,90,AU,1577295499,93,-31.43,152.91,63.27,6.4
2022572,Khatanga,45,RU,1577295499,95,71.98,102.47,-23.67,9.46
6089245,Norman Wells,20,CA,1577295500,75,65.28,-126.83,-18.4,6.93
1630639,Mataram,100,ID,1577295500,99,-5.32,105.06,72.14,1.88
2175403,Bluff,80,AU,1577295501,77,-23.58,149.07,74.53,9.46
3394023,Natal,20,BR,1577295484,52,-5.81,-35.21,87.8,16.11
693700,Skalat,100,UA,1577295502,81,49.42,25.98,41.0,10.0
2013279,Vostok,46,RU,1577295502,88,46.45,135.83,-7.65,3.15
6185377,Yellowknife,90,CA,1577295503,84,62.45,-114.38,1.17,3.36
4278471,Russell,1,US,1577295505,50,38.9,-98.86,53.19,18.34
1282256,Hithadhoo,99,MV,1577295505,74,-0.6,73.08,82.72,3.96
2123814,Leningradskiy,100,RU,1577295506,92,69.38,178.42,-9.6,17.6
3369157,Cape Town,40,ZA,1577295313,63,-33.93,18.42,64.08,13.87
1629965,Arawa,99,ID,1577295507,94,-3.93,119.75,75.06,1.5
6201424,Mataura,92,NZ,1577295507,93,-46.19,168.86,45.0,1.07
3418910,Upernavik,90,GL,1577295508,63,72.79,-56.15,8.87,8.59
1081790,Amboasary,20,MG,1577295508,83,-25.04,46.38,80.6,18.34
1621313,Ambulu,100,ID,1577295509,78,-8.35,113.61,82.04,3.74
4639848,Maryville,1,US,1577295509,81,35.76,-83.97,57.11,2.68
4020109,Atuona,9,PF,1577295510,78,-9.8,-139.03,80.17,22.26
934322,Mahebourg,75,MU,1577295510,83,-20.41,57.7,80.26,17.22
2136825,Isangel,33,VU,1577295243,77,-19.55,169.27,75.43,14.32
2208248,Kaitangata,78,NZ,1577295511,81,-46.28,169.85,54.0,1.99
2520645,Cabra,97,ES,1577295512,67,37.47,-4.43,61.79,1.12
6138908,Saint-Philippe,1,CA,1577295512,68,45.36,-73.48,25.65,10.29
3421319,Nuuk,22,GL,1577295514,73,64.17,-51.74,19.2,11.41
2126710,Beringovskiy,59,RU,1577295515,97,63.05,179.32,-11.18,13.62
2171722,Charters Towers,30,AU,1577295515,87,-20.07,146.27,73.45,10.27
3874787,Punta Arenas,75,CL,1577295515,50,-53.16,-70.91,55.18,36.91
2163355,Hobart,90,AU,1577295223,87,-42.88,147.33,52.72,1.12
2126123,Chokurdakh,100,RU,1577295516,96,70.62,147.9,-16.42,4.81
4407665,Kodiak,1,US,1577295517,54,39.95,-94.76,57.45,20.8
2169068,Deniliquin,0,AU,1577295517,51,-35.53,144.96,65.7,7.74
1014034,Carnarvon,17,ZA,1577295518,25,-30.97,22.13,68.72,13.78
3833367,Ushuaia,75,AR,1577295445,50,-54.81,-68.31,57.2,17.22
2980916,Saint-Denis,20,FR,1577295519,81,48.94,2.36,42.57,8.05
3655185,Samana,40,EC,1577295520,70,0.12,-76.97,86.0,3.36
4035715,Avarua,0,CK,1577295520,78,-21.21,-159.78,73.4,10.29
3164565,Vila,0,IT,1577295521,32,45.18,8.4,45.75,12.75
1273574,Vaini,60,IN,1577295521,82,15.34,74.49,71.35,2.91
